CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
C22_C23	Manufacture of rubber and plastic products and other non-metallic mineral products	Fabrication de produits en caoutchouc et en plastique et autres produits minéraux non métalliques	Herstellung von Gummi- und Kunststoffwaren, von Glas und Glaswaren, Keramik, Verarbeitung von Steinen und Erden	Y	This aggregate includes the NACE activities C22 and C23
C22	Manufacture of rubber and plastic products	Fabrication de produits en caoutchouc et en plastique	Herstellung von Gummi- und Kunststoffwaren	Y	
C221	Manufacture of rubber products	Fabrication de produits en caoutchouc	Herstellung von Gummiwaren	Y	
C2211	Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres	Fabrication et rechapage de pneumatiques	Herstellung und Runderneuerung von Bereifungen	Y	
C2219	Manufacture of other rubber products	Fabrication d'autres articles en caoutchouc	Herstellung von sonstigen Gummiwaren	Y	
C222	Manufacture of plastics products	Fabrication de produits en plastique	Herstellung von Kunststoffwaren	Y	
C2221	Manufacture of plastic plates, sheets, tubes and profiles	Fabrication de plaques, feuilles, tubes et profilés en matières plastiques	Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen	Y	
C2222	Manufacture of plastic packing goods	Fabrication d'emballages en matières plastiques	Herstellung von Verpackungsmitteln aus Kunststoffen	Y	
C2223	Manufacture of builders' ware of plastic	Fabrication d'éléments en matières plastiques pour la construction	Herstellung von Baubedarfsartikeln aus Kunststoffen	Y	
C2229	Manufacture of other plastic products	Fabrication d'autres articles en matières plastiques	Herstellung von sonstigen Kunststoffwaren	Y	
C23	Manufacture of other non-metallic mineral products	Fabrication d'autres produits minéraux non métalliques	Herstellung von Glas und Glaswaren, Keramik, Verarbeitung von Steinen und Erden	Y	
C23_X_C231_C235	Manufacture of other non-metallic mineral products except glass, glass products, cement, lime and plaster	Fabrication d'autres produits minéraux non métalliques sauf la fabrication de verre, d'articles en verre, de ciment, chaux et plâtre	Herstellung anderer nicht metallischer mineralischer Produkte außer Glas, Glasprodukte, Zement, Kalk und Gips	Y	
C231	Manufacture of glass and glass products	Fabrication de verre et d'articles en verre	Herstellung von Glas und Glaswaren	Y	
C2311	Manufacture of flat glass	Fabrication de verre plat	Herstellung von Flachglas	Y	
C2312	Shaping and processing of flat glass	Façonnage et transformation du verre plat	Veredlung und Bearbeitung von Flachglas	Y	
C2313	Manufacture of hollow glass	Fabrication de verre creux	Herstellung von Hohlglas	Y	
C2314	Manufacture of glass fibres	Fabrication de fibres de verre	Herstellung von Glasfasern und Waren daraus	Y	
C2319	Manufacture and processing of other glass, including technical glassware	Fabrication et façonnage d'autres articles en verre, y compris verre technique	Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren	Y	
C232	Manufacture of refractory products	Fabrication de produits réfractaires	Herstellung von feuerfesten keramischen Werkstoffen und Waren	Y	
C2320	Manufacture of refractory products	Fabrication de produits réfractaires	Herstellung von feuerfesten keramischen Werkstoffen und Waren	Y	
C233	Manufacture of clay building materials	Fabrication de matériaux de construction en terre cuite	Herstellung von keramischen Baumaterialien	Y	
C2331	Manufacture of ceramic tiles and flags	Fabrication de carreaux en céramique	Herstellung von keramischen Wand- und Bodenfliesen und -platten	Y	
C2332	Manufacture of bricks, tiles and construction products, in baked clay	Fabrication de briques, tuiles et produits de construction, en terre cuite	Herstellung von Ziegeln und sonstiger Baukeramik	Y	
C234	Manufacture of other porcelain and ceramic products	Fabrication d'autres produits en céramique et en porcelaine	Herstellung von sonstigen Porzellan- und keramischen Erzeugnissen	Y	
C2341	Manufacture of ceramic household and ornamental articles	Fabrication d'articles céramiques à usage domestique ou ornemental	Herstellung von keramischen Haushaltswaren und Ziergegenständen	Y	
C2342	Manufacture of ceramic sanitary fixtures	Fabrication d'appareils sanitaires en céramique	Herstellung von Sanitärkeramik	Y	
C2343	Manufacture of ceramic insulators and insulating fittings	Fabrication d'isolateurs et pièces isolantes en céramique	Herstellung von Isolatoren und Isolierteilen aus Keramik	Y	
C2344	Manufacture of other technical ceramic products	Fabrication d'autres produits céramiques à usage technique	Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke	Y	
C2349	Manufacture of other ceramic products	Fabrication d'autres produits céramiques	Herstellung von sonstigen keramischen Erzeugnissen	Y	
C235	Manufacture of cement, lime and plaster	Fabrication de ciment, chaux et plâtre	Herstellung von Zement, Kalk und gebranntem Gips	Y	
C2351	Manufacture of cement	Fabrication de ciment	Herstellung von Zement	Y	
C2352	Manufacture of lime and plaster	Fabrication de chaux et plâtre	Herstellung von Kalk und gebranntem Gips	Y	
C236	Manufacture of articles of concrete, cement and plaster	Fabrication d'ouvrages en béton, en ciment ou en plâtre	Herstellung von Erzeugnissen aus Beton, Zement und Gips	Y	
C2361	Manufacture of concrete products for construction purposes	Fabrication d'éléments en béton pour la construction	Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau	Y	
C2362	Manufacture of plaster products for construction purposes	Fabrication d'éléments en plâtre pour la construction	Herstellung von Gipserzeugnissen für den Bau	Y	
C2363	Manufacture of ready-mixed concrete	Fabrication de béton prêt à l'emploi	Herstellung von Frischbeton (Transportbeton)	Y	
C2364	Manufacture of mortars	Fabrication de mortiers et bétons secs	Herstellung von Mörtel und anderem Beton (Trockenbeton)	Y	
C2365	Manufacture of fibre cement	Fabrication d'ouvrages en fibre-ciment	Herstellung von Faserzementwaren	Y	
C2369	Manufacture of other articles of concrete, plaster and cement	Fabrication d'autres ouvrages en béton, en ciment ou en plâtre	Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips a. n. g.	Y	
C237	Cutting, shaping and finishing of stone	Taille, façonnage et finissage de pierres	Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.	Y	
C2370	Cutting, shaping and finishing of stone	Taille, façonnage et finissage de pierres	Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.	Y	
C239	Manufacture of abrasive products and non-metallic mineral products n.e.c.	Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.	Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage sowie sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.	Y	
C2391	Production of abrasive products	Fabrication de produits abrasifs	Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage	Y	
C2399	Manufacture of other non-metallic mineral products n.e.c.	Fabrication d'autres produits minéraux non métalliques n.c.a.	Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.	Y	
C_MET	Manufacture of metal and machinery products, except electrical equipment	Fabrication de produits métalliques et de machines, sauf équipement électrique	Metallerzeugung und -bearbeitung, Herstellung von Metallerzeugnissen (ohne elektrische Ausrüstungen)	Y	This aggregate includes the NACE activities C24, C25, C26 and C28
C24_C25	Manufacture of basic metals and fabricated metal products, except machinery and equipment	Métallurgie et fabrication de produits métalliques, à l'exception des machines et des équipements	Metallerzeugung und -bearbeitung, Herstellung von Metallerzeugnissen	Y	This aggregate includes the NACE activities C24 and C25
C24	Manufacture of basic metals	Métallurgie	Metallerzeugung und -bearbeitung	Y	
C24_FER	Manufacture of basic iron and steel and of ferro-alloys; of tubes, pipes, hollow profiles, related fittings and other products of first processing of steel; casting of iron and steel	Sidérurgie; fabrication de tubes, tuyaux, profilés creux, accessoires correspondants en acier et autres produits de première transformation de l'acier; fonderie de fonte et d'acier	Erzeugung von Roheisen, Stahl und Ferrolegierungen; Stahlrohren, Rohrform-, Rohrverschluss-, Rohrverbindungsstücken aus Stahl und sonstige erste Bearbeitung von Eisen und Stahl; Eisen- und Stahlgießereien	Y	This aggregate includes the following NACE activities: C241 to C243, C2451 and C2452
C244_C2453_C2454_X_C2442	Manufacture of basic precious and other non-ferrous metals, casting of light metals and of other non-ferrous metals except aluminium production	Production de métaux précieux et d'autres métaux non ferreux, fonderie de métaux légers et d'autres métaux non ferreux sauf la métallurgie de l'aluminium	Erzeugung und erste Bearbeitung von NE-Metallen, Leicht- und Buntmetallgießereien ohne von Aluminium	Y	
C241-C243_C2451_C2452	Manufacturing activities related to iron and steel	Activités manufacturières liées au fer et à l'acier	Herstellungsaktivitäten mit Bezug zu Eisen und Stahl	Y	
C241	Manufacture of basic iron and steel and of ferro-alloys	Sidérurgie	Erzeugung von Roheisen, Stahl und Ferrolegierungen	Y	
C2410	Manufacture of basic iron and steel and of ferro-alloys	Sidérurgie	Erzeugung von Roheisen, Stahl und Ferrolegierungen	Y	
C241_C2452	Steel	Acier	Stahl	Y	
C242	Manufacture of tubes, pipes, hollow profiles and related fittings, of steel	Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier	Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl	Y	
C2420	Manufacture of tubes, pipes, hollow profiles and related fittings, of steel	Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier	Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl	Y	
C243	Manufacture of other products of first processing of steel	Fabrication d'autres produits de première transformation de l'acier	Sonstige erste Bearbeitung von Eisen und Stahl	Y	
C2431	Cold drawing of bars	Étirage à froid de barres	Herstellung von Blankstahl	Y	
C2432	Cold rolling of narrow strip	Laminage à froid de feuillards	Herstellung von Kaltband mit einer Breite von weniger als 600 mm	Y	
C2433	Cold forming or folding	Profilage à froid par formage ou pliage	Herstellung von Kaltprofilen	Y	
C2434	Cold drawing of wire	Tréfilage à froid	Herstellung von kaltgezogenem Draht	Y	
C24_NFER	Manufacture of basic precious and other non-ferrous metals; casting of light metals and other non-ferrous metals	Production de métaux précieux et d'autres métaux non ferreux; fonderie de métaux légers et d'autres métaux non ferreux	Erzeugung und erste Bearbeitung von NE-Metallen; Leichtmetall- und Buntmetallgießereien	Y	This aggregate includes the following NACE activities: C244, C2453 and C2454
C244_C2453_C2454	Manufacture of basic precious and other non-ferrous metals, casting of light metals and of other non-ferrous metals	Production de métaux précieux et d'autres métaux non ferreux, fonderie de métaux légers et d'autres métaux non ferreux	Erzeugung und erste Bearbeitung von NE-Metallen, Leicht- und Buntmetallgießereien	Y	
C244	Manufacture of basic precious and other non-ferrous metals	Production de métaux précieux et d'autres métaux non ferreux	Erzeugung und erste Bearbeitung von NE-Metallen	Y	
C244_X_C2442	Manufacture of basic precious and other non-ferrous metals except aluminium production	Production de métaux précieux et d'autres métaux non ferreux sauf la métallurgie de l'aluminium	Erzeugung und erste Bearbeitung von NE-Metallen ohne von Aluminium	O	
C2441	Precious metals production	Production de métaux précieux	Erzeugung und erste Bearbeitung von Edelmetallen	Y	
C2442	Aluminium production	Métallurgie de l'aluminium	Erzeugung und erste Bearbeitung von Aluminium	Y	
C2443	Lead, zinc and tin production	Métallurgie du plomb, du zinc ou de l'étain	Erzeugung und erste Bearbeitung von Blei, Zink und Zinn	Y	
C2444	Copper production	Métallurgie du cuivre	Erzeugung und erste Bearbeitung von Kupfer	Y	
C2445	Other non-ferrous metal production	Métallurgie des autres métaux non ferreux	Erzeugung und erste Bearbeitung von sonstigen NE-Metallen	Y	
C2446	Processing of nuclear fuel	Élaboration et transformation de matières nucléaires	Aufbereitung von Kernbrennstoffen	Y	
C245	Casting of metals	Fonderie	Gießereien	Y	
C2451	Casting of iron	Fonderie de fonte	Eisengießereien	Y	
C2452	Casting of steel	Fonderie d'acier	Stahlgießereien	Y	
C2453	Casting of light metals	Fonderie de métaux légers	Leichtmetallgießereien	Y	
C2454	Casting of other non-ferrous metals	Fonderie d'autres métaux non ferreux	Buntmetallgießereien	Y	
C25-C33	Manufacture of metal products and other equipment	Fabrication de produits métalliques et autres équipements	Herstellung von Metallerzeugnissen und sonstiger Ausrüstungen	Y	This aggregate includes all NACE activities from C25 to C33
C25-C28	Manufacture of fabricated metal products, computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c.	Fabrication de produits métalliques, de produits informatiques, électroniques et optiques, d'équipements électriques, de machines et équipements n.c.a.	Herstellung von Metallerzeugnissen, Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen, elektrischen Ausrüstungen und Maschinenbau	Y	
C25	Manufacture of fabricated metal products, except machinery and equipment	Fabrication de produits métalliques, à l'exception des machines et des équipements	Herstellung von Metallerzeugnissen	Y	
C25_X_C254	Manufacture of fabricated metal products, except weapons and ammunition, machinery and equipment	Fabrication de produits métalliques, à l'exception d'armes et de munitions ainsi que des machines et des équipements	Herstellung von Metallerzeugnissen ohne von Waffen und Munition	Y	This aggregate includes NACE activities C25 except C254
C251	Manufacture of structural metal products	Fabrication d'éléments en métal pour la construction	Stahl- und Leichtmetallbau	Y	
C2511	Manufacture of metal structures and parts of structures	Fabrication de structures métalliques et de parties de structures	Herstellung von Metallkonstruktionen	Y	
C2512	Manufacture of doors and windows of metal	Fabrication de portes et fenêtres en métal	Herstellung von Ausbauelementen aus Metall	Y	
C252	Manufacture of tanks, reservoirs and containers of metal	Fabrication de réservoirs, citernes et conteneurs métalliques	Herstellung von Metalltanks und -behältern; Herstellung von Heizkörpern und -kesseln für Zentralheizungen	Y	
C2521	Manufacture of central heating radiators and boilers	Fabrication de radiateurs et de chaudières pour le chauffage central	Herstellung von Heizkörpern und -kesseln für Zentralheizungen	Y	
C2529	Manufacture of other tanks, reservoirs and containers of metal	Fabrication d'autres réservoirs, citernes et conteneurs métalliques	Herstellung von Sammelbehältern, Tanks u. ä. Behältern aus Metall	Y	
C253	Manufacture of steam generators, except central heating hot water boilers	Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central	Herstellung von Dampfkesseln (ohne Zentralheizungskessel)	Y	
C2530	Manufacture of steam generators, except central heating hot water boilers	Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central	Herstellung von Dampfkesseln (ohne Zentralheizungskessel)	Y	
C254	Manufacture of weapons and ammunition	Fabrication d'armes et de munitions	Herstellung von Waffen und Munition	Y	
C2540	Manufacture of weapons and ammunition	Fabrication d'armes et de munitions	Herstellung von Waffen und Munition	Y	
C255	Forging, pressing, stamping and roll-forming of metal; powder metallurgy	Forge, emboutissage, estampage; métallurgie des poudres	Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen	Y	
C2550	Forging, pressing, stamping and roll-forming of metal; powder metallurgy	Forge, emboutissage, estampage; métallurgie des poudres	Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen	Y	
C256	Treatment and coating of metals; machining	Traitement et revêtement des métaux; usinage	Oberflächenveredlung und Wärmebehandlung; Mechanik a. n. g.	Y	
C2561	Treatment and coating of metals	Traitement et revêtement des métaux	Oberflächenveredlung und Wärmebehandlung	Y	
C2562	Machining	Usinage	Mechanik a. n. g.	Y	
C257	Manufacture of cutlery, tools and general hardware	Fabrication de coutellerie, d'outillage et de quincaillerie	Herstellung von Schneidwaren, Werkzeugen, Schlössern und Beschlägen aus unedlen Metallen	Y	
C2571	Manufacture of cutlery	Fabrication de coutellerie	Herstellung von Schneidwaren und Bestecken aus unedlen Metallen	Y	
C2572	Manufacture of locks and hinges	Fabrication de serrures et de ferrures	Herstellung von Schlössern und Beschlägen aus unedlen Metallen	Y	
C2573	Manufacture of tools	Fabrication d'outillage	Herstellung von Werkzeugen	Y	
C259	Manufacture of other fabricated metal products	Fabrication d'autres ouvrages en métaux	Herstellung von sonstigen Metallwaren	Y	
C2591	Manufacture of steel drums and similar containers	Fabrication de fûts et emballages métalliques similaires	Herstellung von Fässern, Trommeln, Dosen, Eimern u. ä. Behältern aus Metall	Y	
C2592	Manufacture of light metal packaging	Fabrication d'emballages métalliques légers	Herstellung von Verpackungen und Verschlüssen aus Eisen, Stahl und NE-Metall	Y	
C2593	Manufacture of wire products, chain and springs	Fabrication d'articles en fils métalliques, de chaînes et de ressorts	Herstellung von Drahtwaren, Ketten und Federn	Y	
C2594	Manufacture of fasteners and screw machine products	Fabrication de vis et de boulons	Herstellung von Schrauben und Nieten	Y	
C2599	Manufacture of other fabricated metal products n.e.c.	Fabrication d'autres produits métalliques n.c.a.	Herstellung von sonstigen Metallwaren a. n. g.	Y	
C25-C30	Manufacture of fabricated metal products, computer, electronic and optical products, electrical equipment, machinery, motor vehicles and other transport equipment	Fabrication de produits métalliques, de produits informatiques, électroniques et optiques, d'équipements électriques, de machines, industrie automobile et fabrication d'autres matériels de transport	Herstellung von Metallerzeugnissen, Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen und elektrischen Ausrüstungen, Maschinenbau, Herstellung von Kraftwagen, sonstiger Fahrzeugbau	Y	This aggregate includes the NACE activities C25, C26, C27, C28, C29 and C30
C26-C33	Manufacture of computers, electric and optical products, electrical equipment, machinery and equipment n.e.c, motor vehicles, other transport equipment, furniture, other manufacturing, repair and installation of machinery and equipment	Fabrication de produits informatiques, électroniques et optiques, équipement électronique, véhicules automobiles et autre matériel de transport, meubles, réparation et installation de machines et équipements	Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen, elektrischen Ausrüstungen; Maschinenbau, sonstiger Fahrzeugbau, Möbeln; Reparatur und Installation von Maschinen und Ausrüstungen	Y	
C26-C30	Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment	Fabrication de produits informatiques, électroniques et optiques, équipement électronique, véhicules automobiles et autre matériel de transport	Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen, elektrischen Ausrüstungen; Maschinenbau,  sonstiger Fahrzeugbau	Y	This aggregate includes the NACE activities C26, C27, C28, C29 and C30
C26-C28	Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c.	Fabrication de produits informatiques, électroniques et optiques, équipement électronique, machines et équipements n.c.a.	Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen, elektrischen Ausrüstungen; Maschinenbau	Y	This aggregate includes the NACE activities C26, C27 and C28
C26_C27	Manufacture of computer, electronic and optical products; manufacture of electrical equipment	Fabrication de produits informatiques, électroniques et optiques; fabrication d'équipements électriques	Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen; Herstellung von elektrischen Ausrüstungen	Y	This aggregate includes the NACE activities C26 and C27
C26	Manufacture of computer, electronic and optical products	Fabrication de produits informatiques, électroniques et optiques	Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen	Y	
C261	Manufacture of electronic components and boards	Fabrication de composants et cartes électroniques	Herstellung von elektronischen Bauelementen und Leiterplatten	Y	
C2611	Manufacture of electronic components	Fabrication de composants électroniques	Herstellung von elektronischen Bauelementen	Y	
C2612	Manufacture of loaded electronic boards	Fabrication de cartes électroniques assemblées	Herstellung von bestückten Leiterplatten	Y	
C262	Manufacture of computers and peripheral equipment	Fabrication d'ordinateurs et d'équipements périphériques	Herstellung von Datenverarbeitungsgeräten und peripheren Geräten	Y	
C2620	Manufacture of computers and peripheral equipment	Fabrication d'ordinateurs et d'équipements périphériques	Herstellung von Datenverarbeitungsgeräten und peripheren Geräten	Y	
C263_C264	Manufacture of communication equipment and consumer electronics	Fabrication d'équipements de communication et de produits électroniques grand public	Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik und der Unterhaltungselektronik	Y	This aggregate includes the NACE activities C263 and C264
C263	Manufacture of communication equipment	Fabrication d'équipements de communication	Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik	Y	
C2630	Manufacture of communication equipment	Fabrication d'équipements de communication	Herstellung von Geräten und Einrichtungen der Telekommunikationstechnik	Y	
C264	Manufacture of consumer electronics	Fabrication de produits électroniques grand public	Herstellung von Geräten der Unterhaltungselektronik	Y	
C2640	Manufacture of consumer electronics	Fabrication de produits électroniques grand public	Herstellung von Geräten der Unterhaltungselektronik	Y	
C265_C266	Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks; manufacture of irradiation, electromedical and electrotherapeutic equipment	Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation; horlogerie; fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques	Herstellung von Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen; Herstellung von Uhren; Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten	Y	This aggregate includes the NACE activities C265 and C266
C265	Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks	Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation; horlogerie	Herstellung von Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen; Herstellung von Uhren	Y	
C2651	Manufacture of instruments and appliances for measuring, testing and navigation	Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation	Herstellung von Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen	Y	
C2652	Manufacture of watches and clocks	Horlogerie	Herstellung von Uhren	Y	
C266	Manufacture of irradiation, electromedical and electrotherapeutic equipment	Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques	Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten	Y	
C2660	Manufacture of irradiation, electromedical and electrotherapeutic equipment	Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques	Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten	Y	
C267	Manufacture of optical instruments and photographic equipment	Fabrication de matériels optique et photographique	Herstellung von optischen und fotografischen Instrumenten und Geräten	Y	
C2670	Manufacture of optical instruments and photographic equipment	Fabrication de matériels optique et photographique	Herstellung von optischen und fotografischen Instrumenten und Geräten	Y	
C268	Manufacture of magnetic and optical media	Fabrication de supports magnétiques et optiques	Herstellung von magnetischen und optischen Datenträgern	Y	
C2680	Manufacture of magnetic and optical media	Fabrication de supports magnétiques et optiques	Herstellung von magnetischen und optischen Datenträgern	Y	
C27_C28	Manufacture of electrical equipment, machinery and equipment n.e.c.	Fabrication d'équipements électriques, de machines et équipements n.c.a.	Herstellung von elektrischen Ausrüstungen, Maschinenbau	Y	
C27	Manufacture of electrical equipment	Fabrication d'équipements électriques	Herstellung von elektrischen Ausrüstungen	Y	
C271	Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus	Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique	Herstellung von Elektromotoren, Generatoren, Transformatoren, Elektrizitätsverteilungs- und -schalteinrichtungen	Y	
C2711	Manufacture of electric motors, generators and transformers	Fabrication de moteurs, génératrices et transformateurs électriques	Herstellung von Elektromotoren, Generatoren und Transformatoren	Y	
C2712	Manufacture of electricity distribution and control apparatus	Fabrication de matériel de distribution et de commande électrique	Herstellung von Elektrizitätsverteilungs- und -schalteinrichtungen	Y	
C272	Manufacture of batteries and accumulators	Fabrication de piles et d'accumulateurs électriques	Herstellung von Batterien und Akkumulatoren	Y	
C2720	Manufacture of batteries and accumulators	Fabrication de piles et d'accumulateurs électriques	Herstellung von Batterien und Akkumulatoren	Y	
C273	Manufacture of wiring and wiring devices	Fabrication de fils et câbles et de matériel d'installation électrique	Herstellung von Kabeln und elektrischem Installationsmaterial	Y	
C2731	Manufacture of fibre optic cables	Fabrication de câbles de fibres optiques	Herstellung von Glasfaserkabeln	Y	
C2732	Manufacture of other electronic and electric wires and cables	Fabrication d'autres fils et câbles électroniques ou électriques	Herstellung von sonstigen elektronischen und elektrischen Drähten und Kabeln	Y	
C2733	Manufacture of wiring devices	Fabrication de matériel d'installation électrique	Herstellung von elektrischem Installationsmaterial	Y	
C274	Manufacture of electric lighting equipment	Fabrication d'appareils d'éclairage électrique	Herstellung von elektrischen Lampen und Leuchten	Y	
C2740	Manufacture of electric lighting equipment	Fabrication d'appareils d'éclairage électrique	Herstellung von elektrischen Lampen und Leuchten	Y	
C275	Manufacture of domestic appliances	Fabrication d'appareils ménagers	Herstellung von Haushaltsgeräten	Y	
C2751	Manufacture of electric domestic appliances	Fabrication d'appareils électroménagers	Herstellung von elektrischen Haushaltsgeräten	Y	
C2752	Manufacture of non-electric domestic appliances	Fabrication d'appareils ménagers non électriques	Herstellung von nichtelektrischen Haushaltsgeräten	Y	
C279	Manufacture of other electrical equipment	Fabrication d'autres matériels électriques	Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.	Y	
C2790	Manufacture of other electrical equipment	Fabrication d'autres matériels électriques	Herstellung von sonstigen elektrischen Ausrüstungen und Geräten a. n. g.	Y	
C28	Manufacture of machinery and equipment n.e.c.	Fabrication de machines et équipements n.c.a.	Maschinenbau	Y	
C281	Manufacture of general-purpose machinery	Fabrication de machines d'usage général	Herstellung von nicht wirtschaftszweigspezifischen Maschinen	Y	
C2811	Manufacture of engines and turbines, except aircraft, vehicle and cycle engines	Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules	Herstellung von Verbrennungsmotoren und Turbinen (ohne Motoren für Luft- und Straßenfahrzeuge)	Y	
C2812	Manufacture of fluid power equipment	Fabrication d'équipements hydrauliques et pneumatiques	Herstellung von hydraulischen und pneumatischen Komponenten und Systemen	Y	
C2813	Manufacture of other pumps and compressors	Fabrication d'autres pompes et compresseurs	Herstellung von Pumpen und Kompressoren a. n. g.	Y	
C2814	Manufacture of other taps and valves	Fabrication d'autres articles de robinetterie	Herstellung von Armaturen a. n. g	Y	
C2815	Manufacture of bearings, gears, gearing and driving elements	Fabrication d'engrenages et d'organes mécaniques de transmission	Herstellung von Lagern, Getrieben, Zahnrädern und Antriebselementen	Y	
C282	Manufacture of other general-purpose machinery	Fabrication d'autres machines d'usage général	Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen	Y	
C2821	Manufacture of ovens, furnaces and furnace burners	Fabrication de fours et brûleurs	Herstellung von Öfen und Brennern	Y	
C2822	Manufacture of lifting and handling equipment	Fabrication de matériel de levage et de manutention	Herstellung von Hebezeugen und Fördermitteln	Y	
C2823	Manufacture of office machinery and equipment (except computers and peripheral equipment)	Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)	Herstellung von Büromaschinen (ohne Datenverarbeitungsgeräte und periphere Geräte)	Y	
C2824	Manufacture of power-driven hand tools	Fabrication d'outillage portatif à moteur incorporé	Herstellung von handgeführten Werkzeugen mit Motorantrieb	Y	
C2825	Manufacture of non-domestic cooling and ventilation equipment	Fabrication d'équipements aérauliques et frigorifiques industriels	Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt	Y	
C2829	Manufacture of other general-purpose machinery n.e.c.	Fabrication de machines diverses d'usage général	Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.	Y	
C283	Manufacture of agricultural and forestry machinery	Fabrication de machines agricoles et forestières	Herstellung von land- und forstwirtschaftlichen Maschinen	Y	
C2830	Manufacture of agricultural and forestry machinery	Fabrication de machines agricoles et forestières	Herstellung von land- und forstwirtschaftlichen Maschinen	Y	
C284	Manufacture of metal forming machinery and machine tools	Fabrication de machines de formage des métaux et de machines-outils	Herstellung von Werkzeugmaschinen	Y	
C2841	Manufacture of metal forming machinery	Fabrication de machines de formage des métaux	Herstellung von Werkzeugmaschinen für die Metallbearbeitung	Y	
C2849	Manufacture of other machine tools	Fabrication d'autres machines-outils	Herstellung von sonstigen Werkzeugmaschinen	Y	
C289	Manufacture of other special-purpose machinery	Fabrication d'autres machines d'usage spécifique	Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige	Y	
C2891	Manufacture of machinery for metallurgy	Fabrication de machines pour la métallurgie	Herstellung von Maschinen für die Metallerzeugung, von Walzwerkseinrichtungen und Gießmaschinen	Y	
C2892	Manufacture of machinery for mining, quarrying and construction	Fabrication de machines pour l'extraction ou la construction	Herstellung von Bergwerks-, Bau- und Baustoffmaschinen	Y	
